city,team1,team2,toss_winner,toss_decision,venue,team1_last_5_scored,team1_last_5_conceded,team2_last_5_scored,team2_last_5_conceded,team1_win
Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy,146.0,137.4,173.0,139.8,1
Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",152.0,138.8,149.6,147.4,1
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",132.0,134.8,143.0,149.8,0
Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Nehru Stadium,160.0,160.0,127.8,147.6,0
Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Feroz Shah Kotla,133.8,146.6,167.4,146.0,0
Mumbai,Rising Pune Supergiant,Punjab Kings,Punjab Kings,bat,Dr DY Patil Sports Academy,160.0,160.0,157.8,159.0,1
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,143.6,144.6,129.2,135.4,1
Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Sawai Mansingh Stadium,139.4,145.8,119.4,130.2,1
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,132.6,149.6,150.6,136.2,0
Chandigarh,Punjab Kings,Chennai Super Kings,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",149.6,150.2,154.0,141.2,1
Mumbai,Rising Pune Supergiant,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Dr DY Patil Sports Academy,113.0,112.0,161.0,162.0,1
Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",124.4,133.2,134.2,152.2,1
Mumbai,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Wankhede Stadium,141.0,137.4,154.5,156.5,0
Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,138.4,145.4,144.2,143.0,0
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",169.2,157.2,135.8,149.0,1
