city,team1,team2,toss_winner,toss_decision,venue,team1_win
Centurion,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,1
East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,0
Durban,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Kingsmead,1
Port Elizabeth,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,St George's Park,0
Johannesburg,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,New Wanderers Stadium,1
Port Elizabeth,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,1
Johannesburg,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,1
East London,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Buffalo Park,1
Durban,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Kingsmead,0
Durban,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,1
Centurion,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,SuperSport Park,1
Centurion,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,0
Centurion,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,SuperSport Park,1
East London,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,1
Kimberley,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,De Beers Diamond Oval,0
Kimberley,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,1
Port Elizabeth,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,St George's Park,0
Johannesburg,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,New Wanderers Stadium,1
Kimberley,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,De Beers Diamond Oval,1
Centurion,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,SuperSport Park,1
Centurion,Punjab Kings,Mumbai Indians,Punjab Kings,bat,SuperSport Park,0
Durban,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Kingsmead,0
Durban,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,1
Durban,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,0
Bloemfontein,Delhi Capitals,Punjab Kings,Punjab Kings,field,OUTsurance Oval,0
Port Elizabeth,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,1
Johannesburg,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,New Wanderers Stadium,1
Johannesburg,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,New Wanderers Stadium,0
Bloemfontein,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,OUTsurance Oval,1
Centurion,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,0
Johannesburg,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,New Wanderers Stadium,1
Durban,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,1
Durban,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Kingsmead,1
Centurion,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,SuperSport Park,1
Centurion,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,SuperSport Park,1
Centurion,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,SuperSport Park,0
Johannesburg,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,New Wanderers Stadium,1
Johannesburg,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,New Wanderers Stadium,0
Mumbai,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,0
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,1
Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Punjab Cricket Association Stadium, Mohali",0
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Eden Gardens,1
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"MA Chidambaram Stadium, Chepauk",0
Ahmedabad,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,"Sardar Patel Stadium, Motera",0
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,M Chinnaswamy Stadium,1
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,0
Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,0
Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1
Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Feroz Shah Kotla,0
Cuttack,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Barabati Stadium,1
Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",1
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Brabourne Stadium,0
Cuttack,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Barabati Stadium,1
Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",0
Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,1
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,1
Chandigarh,Punjab Kings,Rajasthan Royals,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",0
Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Brabourne Stadium, Mumbai",0
Bangalore,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,0
Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Sardar Patel Stadium, Motera",1
Chandigarh,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",0
Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",1
Mumbai,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,0
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,1
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Brabourne Stadium,1
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",1
Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Feroz Shah Kotla,1
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,1
Chandigarh,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",0
Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Brabourne Stadium,1
Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Eden Gardens,0
Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Feroz Shah Kotla,1
Nagpur,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",0
Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,1
Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,1
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,0
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",1
Nagpur,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,"Vidarbha Cricket Association Stadium, Jamtha",1
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,0
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,0
Nagpur,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha",1
Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Brabourne Stadium,1
Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",1
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Sawai Mansingh Stadium,0
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",0
Dharamsala,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Himachal Pradesh Cricket Association Stadium,0
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,1
Dharamsala,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,0
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,0
Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,1
Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy,0
Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Dr DY Patil Sports Academy,1
Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Dr DY Patil Sports Academy,1
Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy,1
Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",0
Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Nehru Stadium,0
Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Feroz Shah Kotla,0
Mumbai,Rising Pune Supergiant,Punjab Kings,Punjab Kings,bat,Dr DY Patil Sports Academy,1
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,1
Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Sawai Mansingh Stadium,1
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,0
Chandigarh,Punjab Kings,Chennai Super Kings,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",1
Mumbai,Rising Pune Supergiant,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,Dr DY Patil Sports Academy,1
Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",1
Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,0
Mumbai,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Wankhede Stadium,0
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",0
Mumbai,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Eden Gardens,1
Kochi,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Nehru Stadium,1
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,0
Mumbai,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,bat,Wankhede Stadium,1
Kolkata,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Eden Gardens,0
Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",1
Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,1
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,0
Delhi,Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,1
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",0
Jaipur,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,Sawai Mansingh Stadium,1
Chennai,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,"MA Chidambaram Stadium, Chepauk",1
Delhi,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,0
Mumbai,Rising Pune Supergiant,Chennai Super Kings,Rising Pune Supergiant,bat,Dr DY Patil Sports Academy,0
Kochi,Kochi Tuskers Kerala,Sunrisers Hyderabad,Kochi Tuskers Kerala,field,Nehru Stadium,0
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Feroz Shah Kotla,0
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,1
Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,field,M Chinnaswamy Stadium,1
Kochi,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,bat,Nehru Stadium,0
Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,1
Jaipur,Rajasthan Royals,Rising Pune Supergiant,Rajasthan Royals,field,Sawai Mansingh Stadium,1
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings,field,Wankhede Stadium,1
Delhi,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Feroz Shah Kotla,0
Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",0
Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",1
Mumbai,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Dr DY Patil Sports Academy,0
Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Nehru Stadium,1
Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,"Rajiv Gandhi International Stadium, Uppal",0
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,1
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,1
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,1
Bangalore,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,bat,M Chinnaswamy Stadium,1
Chandigarh,Punjab Kings,Rising Pune Supergiant,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",0
Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,0
Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",0
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",1
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,0
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Indore,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,field,Holkar Cricket Stadium,0
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Wankhede Stadium,0
Dharamsala,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,1
Indore,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Holkar Cricket Stadium,1
Mumbai,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,0
Dharamsala,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Himachal Pradesh Cricket Association Stadium,1
Chennai,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Mumbai,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr DY Patil Sports Academy,0
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium,0
Dharamsala,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,0
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1
Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,0
Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,0
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1
Chennai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",1
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1
Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",0
Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Eden Gardens,0
Mumbai,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium,0
Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Sawai Mansingh Stadium,1
